LSTM-VQE,VQE after LSTM,VQE Random,VQE Zeros
-2.093377113342285,-2.024110794067383,-0.6840723752975464,-2.1264684200286865
-2.0440475940704346,-2.024110794067383,-0.6840723752975464,-2.1264684200286865
-2.06628155708313,-2.041917324066162,-0.7149295210838318,-2.134289503097534
-2.0230393409729004,-2.0581912994384766,-0.7455409169197083,-2.141201972961426
-2.006584644317627,-2.073112964630127,-0.775885283946991,-2.1469974517822266
-2.0001158714294434,-2.0866665840148926,-0.805965006351471,-2.1524124145507812
-1.9750034809112549,-2.09881591796875,-0.835780143737793,-2.156560182571411
-2.0056989192962646,-2.1095800399780273,-0.8653149604797363,-2.1600258350372314
-1.9297096729278564,-2.1190285682678223,-0.8945446014404297,-2.1629207134246826
-1.980677604675293,-2.127262830734253,-0.9234530925750732,-2.1650991439819336
-2.0408952236175537,-2.1344125270843506,-0.9520431756973267,-2.166656255722046
-1.9997813701629639,-2.140623092651367,-0.9803370833396912,-2.1678855419158936
-2.0233054161071777,-2.1460330486297607,-1.0083675384521484,-2.1689581871032715
-2.008242607116699,-2.15075421333313,-1.0361661911010742,-2.1698780059814453
-1.903793215751648,-2.1548707485198975,-1.0637578964233398,-2.170649290084839
-1.9568475484848022,-2.1584537029266357,-1.0911635160446167,-2.171355724334717
-2.016169548034668,-2.161567449569702,-1.118403673171997,-2.172093152999878
-2.0604915618896484,-2.1642701625823975,-1.1455024480819702,-2.1728668212890625
-2.045504570007324,-2.1666102409362793,-1.1724876165390015,-2.173616886138916
-2.03082013130188,-2.1686291694641113,-1.1993892192840576,-2.1743032932281494
-2.04938006401062,-2.17036509513855,-1.2262386083602905,-2.1749374866485596
-1.9288452863693237,-2.171854257583618,-1.2530661821365356,-2.175542116165161
-2.0530617237091064,-2.173128604888916,-1.2798998355865479,-2.1761019229888916
-2.053086042404175,-2.1742136478424072,-1.306763768196106,-2.1765809059143066
-2.0420756340026855,-2.1751320362091064,-1.3336782455444336,-2.176968812942505
-1.9860155582427979,-2.175906181335449,-1.3606585264205933,-2.1772944927215576
-2.0301108360290527,-2.176558256149292,-1.3877121210098267,-2.1775901317596436
-1.9794262647628784,-2.177104949951172,-1.41483736038208,-2.1778621673583984
-2.017876386642456,-2.1775569915771484,-1.442022442817688,-2.1781039237976074
-2.046261787414551,-2.177921772003174,-1.4692472219467163,-2.1783220767974854
-1.9663233757019043,-2.178209066390991,-1.4964829683303833,-2.1785387992858887
-1.9592701196670532,-2.1784327030181885,-1.5236937999725342,-2.178767204284668
-1.9256941080093384,-2.178605556488037,-1.550835132598877,-2.1789987087249756
-2.000657320022583,-2.1787381172180176,-1.577854037284851,-2.17921781539917
-1.9472267627716064,-2.1788389682769775,-1.6046890020370483,-2.1794207096099854
-1.9362167119979858,-2.1789164543151855,-1.6312733888626099,-2.179612636566162
-2.0378525257110596,-2.178978681564331,-1.6575374603271484,-2.1797902584075928
-2.0290684700012207,-2.179032802581787,-1.6834115982055664,-2.179940938949585
-2.034661054611206,-2.179083824157715,-1.7088271379470825,-2.1800568103790283
-1.8618131875991821,-2.1791348457336426,-1.733717441558838,-2.180143117904663
-2.0312705039978027,-2.1791884899139404,-1.758018970489502,-2.1802074909210205
-2.056788444519043,-2.179246187210083,-1.7816725969314575,-2.180251359939575
-2.0307059288024902,-2.179309129714966,-1.8046252727508545,-2.1802737712860107
-2.009368896484375,-2.1793766021728516,-1.826831579208374,-2.1802799701690674
-2.0179660320281982,-2.1794488430023193,-1.8482533693313599,-2.1802799701690674
-2.011040687561035,-2.1795246601104736,-1.8688603639602661,
-2.046072244644165,-2.179603099822998,-1.8886300325393677,
-2.0302538871765137,-2.1796817779541016,-1.907548189163208,
-2.014803409576416,-2.179758310317993,-1.925607681274414,
-1.9532643556594849,-2.1798298358917236,-1.9428077936172485,
-2.0516350269317627,-2.179894208908081,-1.9591522216796875,
-2.0423097610473633,-2.179950475692749,-1.9746490716934204,
-2.0601794719696045,-2.179997205734253,-1.98931086063385,
-1.9609761238098145,-2.180035352706909,-2.003154993057251,
-1.9847286939620972,-2.180065631866455,-2.016202449798584,
-1.983486294746399,-2.1800894737243652,-2.028477191925049,
-2.021984815597534,-2.1801087856292725,-2.040006399154663,
-1.994070291519165,-2.1801254749298096,-2.050818681716919,
-2.0069122314453125,-2.1801416873931885,-2.0609443187713623,
-2.0406906604766846,-2.1801581382751465,-2.0704140663146973,
-2.0427346229553223,-2.180175304412842,-2.0792582035064697,
-2.02628231048584,-2.1801929473876953,-2.0875072479248047,
-1.9982917308807373,-2.180211067199707,-2.0951907634735107,
-1.9377440214157104,-2.1802291870117188,-2.1023378372192383,
-2.031137704849243,-2.1802468299865723,-2.108975410461426,
-2.031830310821533,-2.1802632808685303,-2.115129232406616,
-1.985055923461914,-2.1802783012390137,-2.1208245754241943,
-2.035487413406372,-2.1802921295166016,-2.1260859966278076,
-2.009035348892212,-2.180304527282715,-2.1309375762939453,
-2.0209808349609375,-2.1803154945373535,-2.135403633117676,
-1.987370252609253,-2.1803252696990967,-2.139507532119751,
-1.9280731678009033,-2.1803338527679443,-2.14327335357666,
-2.007089138031006,-2.1803412437438965,-2.146723985671997,
-2.027902364730835,-2.180346965789795,-2.1498820781707764,
-2.030641555786133,-2.180351495742798,-2.1527693271636963,
-1.999150037765503,-2.1803548336029053,-2.1554059982299805,
-2.0187904834747314,-2.180356979370117,-2.1578121185302734,
-2.0314388275146484,-2.180358648300171,-2.160005807876587,
-1.9137952327728271,-2.1803596019744873,-2.162004232406616,
-1.9884957075119019,,-2.163822889328003,
-2.045098066329956,,-2.1654763221740723,
-2.0260963439941406,,-2.166977882385254,
-2.0192158222198486,,-2.168339967727661,
-2.028925895690918,,-2.1695737838745117,
-2.0137579441070557,,-2.170689582824707,
-2.0413928031921387,,-2.171696901321411,
-2.0481536388397217,,-2.172605037689209,
-2.0328285694122314,,-2.1734213829040527,
-2.009913682937622,,-2.174154281616211,
-2.018645763397217,,-2.1748106479644775,
-1.9388275146484375,,-2.1753973960876465,
-2.016705274581909,,-2.1759209632873535,
-2.025254249572754,,-2.176387310028076,
-2.0416016578674316,,-2.176802158355713,
-1.9705486297607422,,-2.177171230316162,
-1.9765019416809082,,-2.1774990558624268,
-2.0349392890930176,,-2.177790641784668,
-2.0258383750915527,,-2.1780498027801514,
-1.9993902444839478,,-2.1782805919647217,
-2.024110794067383,,-2.1784863471984863,
,,-2.1786701679229736,
,,-2.1788346767425537,
,,-2.1789822578430176,
,,-2.1791152954101562,
,,-2.1792352199554443,
,,-2.1793437004089355,
,,-2.1794421672821045,
,,-2.1795318126678467,
,,-2.1796131134033203,
,,-2.179687023162842,
,,-2.1797544956207275,
,,-2.1798157691955566,
,,-2.1798717975616455,
,,-2.179922342300415,
,,-2.1799685955047607,
,,-2.1800105571746826,
,,-2.1800484657287598,
,,-2.1800830364227295,
,,-2.180114269256592,
,,-2.180142402648926,
,,-2.1801681518554688,
,,-2.1801912784576416,
,,-2.1802120208740234,
,,-2.1802308559417725,
,,-2.1802475452423096,
,,-2.180262804031372,
,,-2.180276393890381,
,,-2.180288314819336,
,,-2.1802992820739746,
,,-2.1803088188171387,
,,-2.1803174018859863,
,,-2.1803250312805176,
,,-2.1803317070007324,
,,-2.18033766746521,
,,-2.18034291267395,
,,-2.1803476810455322,
,,-2.180351734161377,
,,-2.1803553104400635,
,,-2.180358409881592,
,,-2.180361032485962,
,,-2.180363416671753,
,,-2.180365562438965,
,,-2.1803674697875977,
,,-2.1803689002990723,
,,-2.180370330810547,
,,-2.1803715229034424,
,,-2.180372476577759,
