Phase I,Phase II,Random
-21.03019384757588,-23.07064426575606,-13.623020659651559
-22.209005717369376,-23.07064426575606,-13.623020659651559
-22.669675491584343,-23.13624570006212,-13.791692673702258
-22.868454294270276,-23.19025005718595,-13.978240257441115
-22.963523613383497,-23.234853514917987,-14.184152383398379
-23.0129020374144,-23.271853363475028,-14.410768615219972
-23.040136926609403,-23.302709898696452,-14.659187278179195
-23.05579774267636,-23.328602403828533,-14.930156687153806
-23.065061067233472,-23.350479608256155,-15.22396434978076
-23.07064426575606,-23.369102294828895,-15.540314702200657
,-23.385079381572393,-15.878226312572714
,-23.398897752898783,-16.235946795613273
,-23.410946822223185,-16.610902318541743
,-23.421537859675638,-16.99970679872205
,-23.430920177953695,-17.39823613849615
,-23.439293663804385,-17.801759951335576
,-23.446819096232964,-18.205159474184175
,-23.45362605873198,-18.60316836553537
,-23.4598194852671,-18.99066297990801
,-23.465484508790674,-19.36293931789702
,-23.470690779088468,-19.71595580493045
,-23.475495384261738,-20.046510480875522
,-23.479945469399617,-20.352350902089448
,-23.48408021145849,-20.632189858208413
,-23.487932551734165,-20.885658915641873
,-23.49153008851452,-21.113195487251353
,-23.494896474056937,-21.315894729356614
,-23.498051864814258,-21.49534127535237
,-23.501013732587243,-21.653448494309295
,-23.503797318627907,-21.79231321581064
,-23.50641599747404,-21.91408859246305
,-23.50888166841041,-22.020886586538207
,-23.51120488881845,-22.114711681404515
,-23.51339519719856,-22.19741354211272
,-23.51546117041112,-22.27066042559085
,-23.517410680541484,-22.335929667879
,-23.51925089380694,-22.3945085437668
,-23.520988390451546,-22.447504365974158
,-23.522629276801965,-22.495857082481038
,-23.524179187990736,-22.540356131887428
,-23.52564336958709,-22.581657394092073
,-23.527026721752158,-22.620301224344594
,-23.52833377926031,-22.656728094672495
,-23.52956885750244,-22.69129338819462
,-23.53073595621672,-22.72428100900705
,-23.531838846462577,-22.755916098924356
,-23.532881095926115,-22.78637419984029
,-23.533866042893138,-22.8157909176457
,-23.53479681385914,-22.844269480150484
,-23.53567638744829,-22.87188685954834
,-23.536507580404972,-22.898699821021662
,-23.537293029009476,-22.924748829436403
,-23.538035245815223,-22.95006222983289
,-23.538736578745453,-22.974659342649474
,-23.539399271697057,-22.998552544666328
,-23.54002543918662,-23.021749777324818
,-23.540617077751214,-23.04425610487368
,-23.541176072804266,-23.066074605627172
,-23.541704194278466,-23.087207719970003
,-23.542203140633834,-23.107657855455923
,-23.542674504917887,-23.127427981960643
,-23.54311980626386,-23.146522023420125
,-23.543540460528025,-23.164945073134717
,-23.543937832957557,-23.182703370408355
,-23.54431318821759,-23.19980467648414
,-23.54466773353683,-23.216258120528853
,-23.545002617716627,-23.232073997812673
,-23.545318924072603,-23.247263824599322
,-23.545617665565825,-23.26184026287306
,-23.545899821048454,-23.275817256139945
,-23.546166295805726,-23.289209182207465
,-23.54641796537087,-23.302031401835833
,-23.546655635614382,-23.31429974684825
,-23.54688007654869,-23.326030633506576
,-23.54709203094091,-23.337240678505317
,-23.547292182887155,-23.347946916753376
,-23.547481181237362,-23.35816633712491
,-23.54765964816225,-23.36791601997425
,-23.547828159641163,-23.37721306760597
,-23.547987277014215,-23.386074385190156
,-23.54813752101355,-23.394516633368905
,-23.548279370880778,-23.402556366829362
,-23.548413310858685,-23.41020983271113
,-23.548539769636992,-23.417492783297728
,-23.548659157584616,-23.42442079179885
,-23.54877187629341,-23.43100905232368
,-23.548878294712623,-23.437272160481644
,-23.5489787638443,-23.443224335426816
,-23.549073612724587,-23.44887948530405
,-23.54916315100715,-23.45425091426637
,-23.549247682843884,-23.459351613105152
,-23.54932748017717,-23.46419399128851
,-23.549402811000498,-23.468790139586268
,-23.549473921222205,-23.473151517413836
,-23.54954105331943,-23.477289287434484
,-23.54960442248543,-23.48121406639878
,-23.549664241747873,-23.484936130045224
,-23.549720704355313,-23.488465299509382
,-23.54977400324173,-23.491810946836466
,-23.549824312889307,-23.494982020909962
,-23.549871801900995,-23.497987230299472
,-23.549916627997447,-23.50083474985078
,-23.549958938072308,-23.503532440885117
,-23.549998874890573,-23.506087883450103
,-23.550036570025608,-23.508508194574116
,-23.550072147530585,-23.510800192925075
,-23.550105726523125,-23.512970459839394
,-23.55013742495601,-23.51502510883604
,-23.55016733870258,-23.51697018369966
,-23.550195575936343,-23.518811236856955
,-23.55022222735657,-23.520553629952364
,-23.550247381291012,-23.522202536287406
,-23.550271119896188,-23.523762781859535
,-23.55029352716044,-23.52523898009618
,-23.550314674028943,-23.526635550403498
,-23.55033463108047,-23.52795665837987
,-23.55035346706941,-23.529206231128654
,-23.55037124561534,-23.530388092202436
,-23.550388024489283,-23.531505819290814
,-23.550403858707874,-23.532562787249862
,-23.550418803140722,-23.533562212133553
,-23.550432907395155,-23.534507206238306
,-23.55044621794631,-23.53540063128122
,-23.550458779696115,-23.53624526997488
,-23.550470634642853,-23.53704372528409
,-23.55048182270792,-23.537798421331853
,-23.550492379728848,-23.538511763088845
,-23.550502343943105,-23.53918598487929
,-23.550511747563377,-23.539823172237273
,-23.550520620704116,-23.540425356890694
,-23.55052899506001,-23.54099441113563
,-23.550536896650303,-23.541532110271827
,-23.550544354206053,-23.542040186043177
,-23.550551392164014,-23.542520229260127
,-23.550558033783872,-23.542973793944096
,-23.55056430070752,-23.543402286228137
,-23.550570216524978,-23.543807118216787
,-23.550575798165536,-23.544189546327484
,-23.55058106515855,-23.544550810793698
,-23.550586037014057,-23.544892059877128
,-23.550590728959516,-23.54521440298878
,-23.550595155144933,-23.545518880595917
,-23.550599332935786,-23.545806445307367
,-23.550603274977174,-23.54607804219248
,-23.550606995359644,-23.546334564524678
,-23.55061050549102,-23.546576832228922
,-23.550613817801825,-23.546805613092523
,-23.55061694441354,-23.54702167965975
,-23.55061989501265,-23.547225733449622
,-23.55062267885289,-23.5474184107696
,-23.550625306124257,-23.547600360637883
,-23.550627785454292,-23.547772158488268
,-23.55063012475417,-23.547934388872072
,-23.550632332808867,-23.54808756107496
,-23.550634416422035,-23.54823219838889
,-23.55063638147752,-23.54836876748647
,-23.55063823678089,-23.548497706177685
,-23.550639987513716,-23.548619437914454
,-23.550641638976927,-23.548734374676183
,-23.550643198024577,-23.54884288373621
,-23.55064466882806,-23.54894532964704
,-23.550646056400268,-23.549042050398025
,-23.550647366456648,-23.549133353545308
,-23.55064860229033,-23.54921955363783
,-23.55064976821202,-23.54930092056572
,-23.55065086831119,-23.54937774497561
,-23.550651906464118,-23.54945025731145
,-23.550652886343816,-23.549518714562158
,,-23.54958332460954
,,-23.54964432081112
,,-23.549701901515697
,,-23.54975624926408
,,-23.549807548769053
,,-23.549855975444228
,,-23.549901685688003
,,-23.549944838260068
,,-23.54998556875048
,,-23.550024011743456
,,-23.550060294135037
,,-23.5500945377216
,,-23.550126857222377
,,-23.550157370995848
,,-23.55018616563306
,,-23.550213340121303
,,-23.550238992684317
,,-23.55026320463114
,,-23.550286053492986
,,-23.55030762024473
,,-23.55032797470934
,,-23.550347183379664
,,-23.550365312488303
,,-23.5503824220281
,,-23.550398571843107
,,-23.550413815949415
,,-23.55042820249002
,,-23.550441777391708
,,-23.550454589955926
,,-23.55046668146436
,,-23.550478091248106
,,-23.550488861826395
,,-23.55049902083565
,,-23.550508612014575
,,-23.55051766239559
,,-23.550526204570794
,,-23.55053426736345
,,-23.55054187583908
,,-23.55054905393892
,,-23.550555828562658
,,-23.550562219366864
,,-23.550568252571516
,,-23.55057394566505
,,-23.550579317095796
,,-23.550584386069684
,,-23.55058916919287
,,-23.55059368404765
,,-23.550597943796703
,,-23.5506019642075
,,-23.550605758761122
,,-23.550609337305342
,,-23.55061271513253
,,-23.550615905091508
,,-23.55061891385788
,,-23.550621752068523
,,-23.550624431007787
,,-23.550626960126944
,,-23.550629347086335
,,-23.550631599213755
,,-23.550633723517226
,,-23.550635727875086
,,-23.550637620746837
,,-23.55063940586104
,,-23.550641091005957
,,-23.550642681490732
,,-23.5506441823807
,,-23.550645598506232
,,-23.55064693447094
,,-23.55064819466162
,,-23.550649384974644
,,-23.55065050668638
,,-23.550651566139884
,,-23.550652565219274
