lstm_loss,lstm_energy_history_adam_lstm,vqe_energy_history_0_adam_traditional,vqe_energy_history_random_adam_traditional,vqe_energy_history_pi_adam_traditional
-2.1264684200286865,-2.1264684200286865,-2.1264684200286865,-0.3027835190296173,-2.1264684200286865
-2.1264684200286865,-2.1264684200286865,-2.1264684200286865,-0.3027835190296173,-2.1264684200286865
-2.1264684200286865,-2.1460559368133545,-2.165968418121338,-0.5468558073043823,-2.1331684589385986
-2.1264684200286865,-2.1490652561187744,-2.158550977706909,-0.7735912203788757,-2.1159043312072754
-2.1264684200286865,-2.148343563079834,-2.1396090984344482,-0.9761210680007935,-2.13097882270813
-2.1264684200286865,-2.1472694873809814,-2.1705946922302246,-1.1420249938964844,-2.1285400390625
-2.1264684200286865,-2.1500728130340576,-2.1542139053344727,-1.2825204133987427,-2.1252357959747314
-2.1264684200286865,-2.1548898220062256,-2.149707078933716,-1.4104576110839844,-2.128848075866699
-2.1264684200286865,-2.156467914581299,-2.1647889614105225,-1.5339115858078003,-2.132554292678833
-2.1264684200286865,-2.1551382541656494,-2.172185182571411,-1.6500314474105835,-2.1325831413269043
-2.1264684200286865,-2.154378652572632,-2.1651859283447266,-1.7524341344833374,-2.13266921043396
,-2.154785633087158,-2.1611263751983643,-1.8370050191879272,-2.135469436645508
,-2.1551027297973633,-2.1669538021087646,-1.9039642810821533,-2.1392574310302734
,-2.155735731124878,-2.1739606857299805,-1.9575567245483398,-2.141824722290039
,-2.157355546951294,-2.1748244762420654,-2.0005009174346924,-2.143143653869629
,-2.1588780879974365,-2.1726009845733643,-2.0305280685424805,-2.144869804382324
,-2.1590073108673096,-2.1731069087982178,-2.0447418689727783,-2.1473891735076904
,-2.1583621501922607,-2.175511598587036,-2.044848918914795,-2.149412155151367
,-2.1581811904907227,-2.1758453845977783,-2.037105083465576,-2.1499156951904297
,-2.1584320068359375,-2.1737163066864014,-2.029050350189209,-2.149278402328491
,-2.158647060394287,-2.1728413105010986,-2.026962995529175,-2.1488020420074463
,-2.1588876247406006,-2.1751513481140137,-2.034205913543701,-2.1493334770202637
,-2.1592228412628174,-2.1780002117156982,-2.0503578186035156,-2.1505870819091797
,-2.159442663192749,-2.1784262657165527,-2.0718560218811035,-2.15168833732605
,-2.159543991088867,-2.177140951156616,-2.093904733657837,-2.1521310806274414
,-2.159717082977295,-2.1768763065338135,-2.112304449081421,-2.1522128582000732
,-2.1599080562591553,-2.1782073974609375,-2.1245157718658447,-2.1525044441223145
,-2.1599485874176025,-2.1791651248931885,-2.1302740573883057,-2.15307354927063
,-2.1598727703094482,-2.1784801483154297,-2.1315786838531494,-2.15347957611084
,-2.1598010063171387,-2.1773931980133057,-2.1315059661865234,-2.1534249782562256
,-2.159832239151001,-2.177687644958496,-2.1325619220733643,-2.1531612873077393
,-2.1600210666656494,-2.1790966987609863,-2.1358206272125244,-2.153151273727417
,-2.1602559089660645,-2.179872989654541,-2.141018867492676,-2.153508186340332
,-2.160362720489502,-2.179349184036255,-2.1470773220062256,-2.1539595127105713
,-2.1603736877441406,-2.178710699081421,-2.152723550796509,-2.1542773246765137
,-2.160395860671997,-2.1790497303009033,-2.1569983959198,-2.154543161392212
,-2.1603786945343018,-2.179842472076416,-2.1594738960266113,-2.154939651489258
,-2.1603143215179443,-2.1799840927124023,-2.1602861881256104,-2.1554527282714844
,-2.1603405475616455,-2.1794893741607666,-2.1601052284240723,-2.155925989151001
,-2.1604626178741455,-2.179269790649414,-2.159886360168457,-2.156343460083008
,-2.160534620285034,-2.179633140563965,-2.1604294776916504,-2.1569018363952637
,-2.160529851913452,-2.1799814701080322,-2.16209077835083,-2.157768964767456
,-2.1605188846588135,-2.1799111366271973,-2.1647486686706543,-2.1588470935821533
,-2.160510540008545,-2.179780960083008,-2.167863607406616,-2.159846067428589
,-2.1605162620544434,-2.1799721717834473,-2.1706864833831787,-2.1605353355407715
,-2.160569906234741,-2.1802287101745605,-2.172645330429077,-2.160939931869507
,-2.1606380939483643,-2.1801531314849854,-2.173612117767334,-2.16129732131958
,-2.160668134689331,-2.179908275604248,-2.173854112625122,-2.161745071411133
,-2.1606593132019043,-2.179914951324463,-2.1738028526306152,-2.1622464656829834
,-2.1606318950653076,-2.180140495300293,-2.1738123893737793,-2.162682294845581
,-2.1606099605560303,-2.1802337169647217,-2.1740095615386963,-2.162952184677124
,-2.1606099605560303,-2.1801578998565674,-2.1743342876434326,-2.163041591644287
,,-2.1801600456237793,-2.1746840476989746,-2.1630284786224365
,,-2.180265188217163,-2.1750190258026123,-2.1630430221557617
,,-2.180281400680542,-2.175403118133545,-2.16318416595459
,,-2.1802005767822266,-2.1759567260742188,-2.1634573936462402
,,-2.180192232131958,-2.1767184734344482,-2.163804531097412
,,-2.1802713871002197,-2.177579164505005,-2.1641721725463867
,,-2.1803014278411865,-2.178353786468506,-2.1645495891571045
,,-2.1802680492401123,-2.1788816452026367,-2.1649487018585205
,,-2.180279016494751,-2.1790871620178223,-2.1653568744659424
,,-2.1803314685821533,-2.1790144443511963,-2.1657209396362305
,,-2.1803314685821533,-2.17879581451416,-2.1659774780273438
,,,-2.178579092025757,-2.166102170944214
,,,-2.1784751415252686,-2.1661529541015625
,,,-2.1785311698913574,-2.1662464141845703
,,,-2.1787350177764893,-2.166461706161499
,,,-2.1790337562561035,-2.166799783706665
,,,-2.1793482303619385,-2.167224407196045
,,,-2.179600477218628,-2.167696714401245
,,,-2.1797547340393066,-2.1681792736053467
,,,-2.179823637008667,-2.168639898300171
,,,-2.179847240447998,-2.1690783500671387
,,,-2.179868698120117,-2.16953706741333
,,,-2.1799075603485107,-2.170073986053467
,,,-2.1799516677856445,-2.1707162857055664
,,,-2.179978609085083,-2.1714730262756348
,,,-2.1799800395965576,-2.1723713874816895
,,,-2.1799709796905518,-2.1734347343444824
,,,-2.179976224899292,-2.174642562866211
,,,-2.1800107955932617,-2.175912380218506
,,,-2.1800713539123535,-2.1771023273468018
,,,-2.180140495300293,-2.178056240081787
,,,-2.18019700050354,-2.1787142753601074
,,,-2.180230140686035,-2.179151773452759
,,,-2.1802420616149902,-2.1794185638427734
,,,-2.1802420616149902,-2.1794440746307373
,,,,-2.1792311668395996
,,,,-2.178999900817871
,,,,-2.178952217102051
,,,,-2.179021120071411
,,,,-2.1790719032287598
,,,,-2.179133176803589
,,,,-2.179274082183838
,,,,-2.179466962814331
,,,,-2.179647207260132
,,,,-2.179776430130005
,,,,-2.179842710494995
,,,,-2.179856538772583
,,,,-2.1798577308654785
,,,,-2.1798934936523438
,,,,-2.1799700260162354
,,,,-2.1800479888916016
,,,,-2.1800947189331055
,,,,-2.1801159381866455
,,,,-2.1801228523254395
,,,,-2.180122137069702
